"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"54667",1014.74765901299,2.01240980797733,0.395915019924674,5.08293372744536,3.71649400970191e-07,1.73233300015067e-06
"76863",1055.11507278592,-0.889102023203921,0.1749418480002,-5.08227181413395,3.72947204852539e-07,1.73778881933337e-06
"232670",457.804862524256,-7.42673955538551,1.46140815494361,-5.08190646826662,3.73665405375878e-07,1.74054111009214e-06
"75605",2498.16301904104,0.857460158747266,0.168752866695331,5.0811590673321,3.75138814188476e-07,1.7468080982751e-06
"14563",30.9029175698069,-4.88927033850396,0.962266182241981,-5.08099570444475,3.75461609870999e-07,1.74771488796705e-06
"373864",885.109151368817,6.17914467025163,1.21646202752563,5.07960341583408,3.78223591143252e-07,1.75997121442997e-06
"53414",591.933263088274,-1.03156368836488,0.20309198515166,-5.07929294991409,3.78842152581116e-07,1.76224870430371e-06
"224079",1426.81478444318,-7.82281853807173,1.54061854556074,-5.07771281905767,3.82005509167412e-07,1.77635815642823e-06
"69163",206.202838433601,-2.30806465117577,0.454554856671777,-5.07763720329661,3.82157526142483e-07,1.77645978092391e-06
"16558",952.864749994386,-0.594417518839627,0.117084641644305,-5.07681887642807,3.83806419193996e-07,1.78351719753478e-06
"11520",19311.5403704711,-5.16044999782265,1.01655402186435,-5.07641491433819,3.84622914251528e-07,1.78670304074365e-06
"225341",185.011267325598,6.2329627345041,1.22830367432601,5.07444768324433,3.88623131938703e-07,1.80408972643536e-06
"14747",383.278841706147,4.28756207444759,0.84493234117649,5.07444426671793,3.8863011398886e-07,1.80408972643536e-06
"18830",2023.05274943344,7.15970308829801,1.41100414331509,5.0741899818073,3.89150113289671e-07,1.80588940706475e-06
"380787",68.8612764717541,9.17326292156,1.80819116441118,5.07317096892638,3.91240685655356e-07,1.81497378580024e-06
"20447",57.2267654247204,-4.00281336729707,0.789236147076489,-5.07175625714104,3.94161035853314e-07,1.82790003986613e-06
"245532",35.2864595645472,-3.6338235110896,0.716622805322909,-5.07076175094958,3.96226546176748e-07,1.83685458635199e-06
"100689",4512.26111638922,8.62446462450264,1.70108474791097,5.06997939702532,3.97858769201344e-07,1.84379507030898e-06
"14155",3099.25827728328,1.86843401099758,0.368734214011072,5.06715661308683,4.0380204345041e-07,1.87070274576076e-06
"269233",232.461949928566,3.69636462296238,0.729538853302965,5.0667138648301,4.04741972495295e-07,1.87442091639491e-06
"66307",1513.92702397272,-1.62707528886313,0.321136878764217,-5.06660989894514,4.04962991948194e-07,1.87480831550507e-06
"12991",928929.43385544,-7.62074375985891,1.50459080684989,-5.06499423309266,4.08412714354805e-07,1.8901379198082e-06
"75623",431.399438259449,-1.57388471780885,0.310752044450258,-5.06476062158547,4.0891385515223e-07,1.89181569326022e-06
"242122",647.468310045283,3.58314751614706,0.707545012497956,5.06419726357326,4.10124806270897e-07,1.89677511216035e-06
"69046",559.013269218025,-0.970858181645928,0.191713592161211,-5.0641071960591,4.10318729015634e-07,1.89702913740019e-06
"66218",2221.12488609752,-1.40003878871128,0.276533194475855,-5.06282362001762,4.13092006678596e-07,1.90920409994903e-06
"26397",10249.7496373905,1.10198237103656,0.217702991525493,5.06186140720771,4.1518280226343e-07,1.91821763212298e-06
"230098",897.56167944051,7.19823493109912,1.42219468145635,5.06135694708688,4.16283021258109e-07,1.9226499743251e-06
"118445",1414.62048285454,2.01861851036913,0.399177891527996,5.05693965826151,4.26037968318406e-07,1.9670386304498e-06
"225372",826.510309714107,-1.26227509994324,0.249627378697728,-5.05663724279106,4.2671381509206e-07,1.96949277929538e-06
"17260",797.822414844515,7.19412033612429,1.42302222135606,5.05552213321637,4.29214844088165e-07,1.9803665287746e-06
"12797",21646.6771595845,9.52512745413037,1.88416590269213,5.05535496663044,4.29590991306032e-07,1.98143218970758e-06
"104776",864.73056520558,-0.995716763577043,0.197011861814997,-5.0540954966055,4.32435209590805e-07,1.99387693935652e-06
"74383",2239.9034234768,0.499135491948357,0.098786170016368,5.05268593635783,4.3563991491802e-07,2.00797485943976e-06
"22249",1084.6320445618,-5.18307170627158,1.02592145384694,-5.0521135773469,4.36947731539535e-07,2.01332297098298e-06
"18164",995.500119171586,8.13929632690641,1.61113311180351,5.05190804364714,4.37418291148309e-07,2.0148109475505e-06
"320706",1425.1239878259,5.80023475645271,1.14816533537357,5.05174174637969,4.37799378570452e-07,2.01588593749309e-06
"100604",566.420782786544,6.95440340531142,1.37680971938833,5.05109987776744,4.39273293187108e-07,2.0219905245928e-06
"20688",538.289075672094,3.52959410777577,0.698958207496232,5.04979277719519,4.42289585231498e-07,2.03497966989171e-06
"27410",1698.11475535587,-4.28153196109242,0.847870427961961,-5.04974795663531,4.42393367568047e-07,2.03497966989171e-06
"53614",568.233110794114,4.21523886187366,0.834806158080164,5.0493624430941,4.43286997566485e-07,2.03840328261031e-06
"81896",341.475211065667,3.09214664565744,0.612514578762911,5.04828252725448,4.45799550305464e-07,2.04926650810676e-06
"381463",44.8411633873817,-5.20953789708755,1.03200804155556,-5.04796250350445,4.46546758651455e-07,2.05201015558083e-06
"27049",1322.25949862016,0.797378539102792,0.157965165720795,5.04781250641148,4.46897395479744e-07,2.05293020986454e-06
"99152",1678.60594168852,0.767652517053665,0.152107026576771,5.04679194860349,4.49290136856022e-07,2.06322738486238e-06
"19387",2451.8908748024,-1.56126660766434,0.309431335887994,-5.04559954532039,4.52101433265046e-07,2.07543907204889e-06
